Source,Destination,Shipment_Date,Weight,Volume,Equipment_Type,Carrier_Name,Freight_Rate,Shipment_ID,Service_Level,Temperature,Pickup_Date,Loading_Dock_Type,Shipment_Status,VIN,Payment_Terms,Commodity_Type,Distance,Driver_ID
Indore,Nagpur,06-03-2026,12240 Ton,7 cu ft,Tanker,FedEx Freight,1184,SH100502,Urgent,40°F,15-01-2024,Forklift,In Transit,vin8081078,COL,Plastic Goods,300km,drv4294627
Cochi,Chandigarh,32/02/2026,19595 Ton,41 cu ft,Flatbed,FedEx Freight,2703,SH100503,Ground,+4C,15-01-2024,No Dock,On Hold,VIN1684787,Freight Prepaid,Furniture,700 km,DRV 9996102
Delhi,Guwahati,March 6 2026,7672 KG,36 m3,FTL,Schneider National,EUR 2189,SH100504,Overnight,-5C,01/15/2024,Ramp,Delayed,VIN 6415339,PPD,Furniture,700 km,drv3798675
Delhi,Guwahati,06-03-2026,2985 lbs,42 m3,Reefer,SWIFT TRANSPORT,₹3551,SH100505,Urgent,20 °C,01/15/2024,Forklift,Processing,vin4599938,Prepaid,Electronics,350 KM,DRV8316201
Trichy,Lucknow,06-03-2026,8772 lbs,61 cu ft,Lowboy,Landstar System,"₹3,448",SH100506,Priority,No Temp Control,15-01-2024,Side Load,Picked Up,vin1167958,Collect,Steel,400 kilometers,DRV6305703
Trichy,Lucknow,06-03-2026,17402 lbs,35 CBM,Lowboy,Ryder Logistics,3408 USD,SH100507,Express,No Temp Control,"January 15, 2024",Rear Load,On Hold,VIN4437530,PPD,Textiles,1200 kilometers,DRV8775471
Chandigarh,Kanpur,06-03-2026,6217 lbs,49 CBM,fulltruck,DHL Express,"₹1,364",SH100508,Urgent,35°F,15-01-2024,Side Load,In Transit,VIN3730776,PPD,Electronics,700 km,DRV4843901
Bhopal,Chennai,Feb 6 2026,8133 tons,65 cu ft,Reefer,XPO Logistics,"USD 1,014",SH100509,Overnight,-10°F,20240115,Ramp,Picked Up,VIN-2314005,Prepaid,Pharma,500km,DRIVER5108210
Ahmedabad,Ranchi,06-03-2026,5698 KG,26 cu ft,LTL,Swift Transport,3619,SH100510,Economy,Cold,Jan 15 2024,Forklift,On Hold,VIN4947536,PPD,Agricultural Products,450-km,DRV 3262837
Chennai,Hyderabad,06-03-2026,9349 tons,18 cu ft,Full Truck Load,Schneider National,3546 USD,SH100511,STD,2C,2024-01-15T08:30,Ramp,Picked Up,VIN-4609177,Collect,Steel,450-km,DRV3253010
Delhi,Guwahati,06-03-2026,14635 Ton,44 m3,fulltruck,Schneider National,3392 USD,SH100512,Urgent,Frozen,Jan 15 2024,Rear Load,Pending,VIN-5746012,Collect,FMCG,1000kms,DRV7778598
Jaipur,Gurgaon,32/02/2026,11471 tons,37 m3,Dry Van,JB Hunt,"₹3,543",SH100513,Express,No Temp Control,Jan 15 2024,Forklift,Pending,VIN 1755633,COL,Textiles,300km,DRV 8989293
Chandigarh,Mumbai,03-06-2026,13774 tons,99 CBM,Reefer,Landstar System,2658 USD,SH100514,Standard,20 °C,15-01-2024,Side Load,Delivered,VIN:4394883,STC,Machinery,800 KM,DRIVER1619528
Ranchi,Mumbai,06-03-2026,7227 KG,9 CBM,Flatbed,Maersk Line,"EUR 1,851",SH100515,Premium,Frozen,2024-01-15T08:30,Side Load,Pending,VIN5327478,Collect,FMCG,350 KM,drv6396269
Trichy,Lucknow,March 6 2026,1611 kg,64 m3,Less Than Truckload,SWIFT TRANSPORT,3416 USD,SH100516,Premium,-10°F,Jan 15 2024,Loading Dock,Cancelled,VIN:2125766,Freight Collect,Chemicals,1000kms,drv7352123
Indore,Nagpur,06-03-2026,4386 KG,64 CBM,Dry Van,SWIFT TRANSPORT,1534 USD,SH100517,Economy,2C,15-01-2024,Forklift,Processing,vin7482548,PPD,Textiles,1000kms,DRV-2180997
Delhi,Vijayawada,Feb 6 2026,9422 tons,59 cubic meters,Flatbed,SWIFT TRANSPORT,2138 USD,SH100518,Express,2C,15-01-2024,Side Load,On Hold,VIN 1693165,Freight Prepaid,Furniture,1000kms,DRV 1949758
Mumbai,Kanpur,06-03-2026,6308 kg,45 cu ft,Full Truck Load,JB Hunt,957 USD,SH100519,Ground,-10°F,Jan 15 2024,Loading Dock,Pending,VIN-1138602,PPD,FMCG,450-km,DRV9500950
Trichy,Lucknow,06-03-2026,12113 KG,61 CBM,Tanker,Maersk Line,2975,SH100520,Economy,5 °C,15-01-2024,Dock,Pending,VIN 9832216,Collect,Plastic Goods,400 kilometers,DRV4018127
Chennai,Hyderabad,06-03-2026,8157 KG,41 cu ft,Full Truck Load,Swift Transport,3915 USD,SH100521,Same Day,+4C,15-01-2024,Dock,Cancelled,VIN-4260873,Collect,Auto Parts,1200 kilometers,DRV 6570217
Trichy,Nagpur,Feb 6 2026,13721 KG,61 cu ft,Reefer,FedEx Freight,2414 USD,SH100522,Urgent,-10°F,01/15/2024,Loading Dock,Picked Up,VIN-7057274,Collect,Agricultural Products,250 km,DRIVER9275015
Ahmedabad,Chennai,03-06-2026,3095 Ton,38 cubic meters,Full Truck Load,FedEx Freight,1848,SH100523,Express,Cold,"January 15, 2024",Loading Dock,Picked Up,VIN-1677287,Freight Prepaid,Auto Parts,500km,drv5104158
Cochi,Chandigarh,03-06-2026,11639 tons,69 cubic meters,Tanker,SWIFT TRANSPORT,3913 USD,SH100524,Standard,35°F,"January 15, 2024",Open Yard,Delayed,VIN-9030386,STC,Textiles,1000kms,DRV 1667985
Varanasi,Nagpur,32/02/2026,16686 Ton,95 cubic meters,Full Truck Load,Schneider National,"EUR 2,775",SH100525,Standard,-5C,20240115,Dock,Delivered,VIN-5055580,Prepaid,Agricultural Products,1000kms,DRIVER6112035
Chandigarh,Mumbai,Feb 6 2026,11679 Ton,4 m3,Less Than Truckload,Swift Transport,EUR 3278,SH100526,Urgent,40°F,15-01-2024,Rear Load,On Hold,VIN9174808,Freight Collect,Agricultural Products,400 kilometers,drv1732101
Patna,Chennai,06-03-2026,3122 lbs,3 m3,Dry Van,Swift Transport,EUR 1691,SH100527,Overnight,Cold,Jan 15 2024,Rear Load,On Hold,VIN-5943659,Collect,Textiles,800 KM,DRV 3231135
Jaipur,Gurgaon,03-06-2026,6220 kg,41 cu ft,Container,JB Hunt,1503,SH100528,Overnight,35°F,Jan 15 2024,Loading Dock,Processing,VIN7140866,COL,Agricultural Products,300km,DRV 1362029
Ranchi,Cochi,03-06-2026,15390 KG,55 cu ft,fulltruck,Landstar System,EUR 3552,SH100529,Express,Ambient,2024-01-15T08:30,Loading Dock,Delivered,VIN-4753885,Freight Prepaid,Steel,400 kilometers,DRV 6878678
Chandigarh,Ahmedabad,Feb 6 2026,1274 Ton,65 CBM,Dry Van,SWIFT TRANSPORT,3703,SH100530,Express,40°F,2024-01-15T08:30,Loading Dock,In Transit,VIN:2935427,Freight Prepaid,Pharma,350 KM,DRIVER6972262
Patna,Kanpur,March 6 2026,13581 Ton,66 cu ft,Step Deck,Schneider National,3411 USD,SH100531,Urgent,Cold,20240115,Open Yard,In Transit,VIN-2008497,STC,FMCG,900 km,DRIVER1734115
Coimbatore,Chennai,06-03-2026,16030 Ton,11 cu ft,Full Truck Load,Swift Transport,1636,SH100532,Next Day,2C,15-01-2024,Loading Dock,Picked Up,vin7386725,Collect,Chemicals,350 KM,drv1893166
Trichy,Lucknow,Feb 6 2026,11094 tons,54 cubic meters,Step Deck,Maersk Line,1796 USD,SH100533,Standard,2°C,2024-01-15T08:30,Forklift,Delayed,VIN:8738005,STC,Electronics,1000kms,drv9955904
Ahmedabad,Ranchi,March 6 2026,7015 kg,93 CBM,Less Than Truckload,JB Hunt,3739,SH100534,Express,Cold,2024-01-15T08:30,Open Yard,Cancelled,vin8745110,Collect,FMCG,700 km,drv9347494
Varanasi,Pune,06-03-2026,17892 KG,66 cu ft,Less Than Truckload,Ryder Logistics,2679,SH100535,Same Day,Frozen,15-01-2024,Open Yard,Cancelled,vin1288355,Collect,Auto Parts,600 KM,DRIVER5177128
Patna,Chennai,03-06-2026,14408 kg,87 cu ft,fulltruck,XPO Logistics,"EUR 3,820",SH100536,Priority,2C,15-01-2024,Open Yard,Picked Up,VIN2340576,PPD,Agricultural Products,250 km,drv4681705
Madurai,Noida,Feb 6 2026,14997 kg,2 m3,Container,DHL Express,"USD 3,356",SH100537,Standard,Ambient,20240115,Ramp,Processing,VIN3803562,STC,Furniture,1200 kilometers,drv6787257
Varanasi,Pune,03-06-2026,8193 kg,27 CBM,Step Deck,XPO Logistics,1447,SH100538,Next Day,35°F,01/15/2024,No Dock,Cancelled,vin1290225,COL,Chemicals,300km,DRV 3805905
Guwahati,Hyderabad,06-03-2026,5500 kg,37 cubic meters,Container,Schneider National,1758 USD,SH100539,STD,5 °C,20240115,Side Load,Pending,vin1327585,COL,FMCG,1200 kilometers,DRV 8846076
Gurgaon,Chandigarh,March 6 2026,12638 KG,72 m3,FTL,Maersk Line,USD 3310,SH100540,Same Day,20 °C,20240115,Lift Gate,Picked Up,vin6607554,Freight Collect,Electronics,350 KM,DRV 8162614
Gurgaon,Patna,06-03-2026,4677 kg,60 CBM,Full Truck Load,Maersk Line,2425,SH100541,Express,-5C,"January 15, 2024",Ramp,Delayed,VIN 4994394,Collect,Machinery,300km,DRV-6009022
Ranchi,Mumbai,Feb 6 2026,19314 KG,90 cu ft,Less Than Truckload,FedEx Freight,₹990,SH100542,Express,2°C,15-01-2024,Lift Gate,In Transit,VIN 3010634,Prepaid,Auto Parts,1000kms,drv8427494
Cochi,Chandigarh,03-06-2026,8920 KG,67 cubic meters,Lowboy,UPS Logistics,1295 USD,SH100543,Ground,Cold,15-01-2024,Open Yard,Pending,VIN 5926790,COL,Machinery,400 kilometers,DRV 3660300
Vijayawada,Ahmedabad,03-06-2026,19457 tons,39 CBM,Container,FedEx Freight,"USD 3,886",SH100544,Economy,+4C,Jan 15 2024,Rear Load,Picked Up,VIN:9117603,STC,Pharma,700 km,DRV 9325742
Delhi,Vijayawada,32/02/2026,19593 KG,19 cubic meters,Tanker,FedEx Freight,3552 USD,SH100545,Express,Frozen,2024-01-15T08:30,Ramp,Picked Up,VIN2023185,PPD,FMCG,700 km,DRV-2689367
Coimbatore,Chennai,March 6 2026,1599 lbs,63 cubic meters,Dry Van,SWIFT TRANSPORT,2122,SH100546,Express,Cold,2024-01-15T08:30,Open Yard,Processing,VIN:2856284,Freight Prepaid,FMCG,300km,DRV 7841578
Mumbai,Kanpur,Feb 6 2026,7500 lbs,85 CBM,Lowboy,JB Hunt,"₹2,576",SH100547,Overnight,5 °C,15-01-2024,Lift Gate,Pending,VIN 7157000,PPD,Agricultural Products,450-km,DRV-7094580
Trichy,Ahmedabad,32/02/2026,5017 lbs,90 cu ft,Container,Swift Transport,EUR 1318,SH100548,Urgent,20 °C,01/15/2024,Ramp,Delivered,VIN-9351352,COL,Chemicals,250 km,drv2231103
Surat,Hosur,06-03-2026,6512 kg,85 cu ft,FTL,Schneider National,"EUR 2,591",SH100549,Overnight,2C,2024-01-15T08:30,Side Load,Processing,vin7125839,Collect,FMCG,700 km,DRV 2432370
Patna,Kanpur,03-06-2026,9386 Ton,39 CBM,Tanker,FedEx Freight,2367 USD,SH100550,Priority,+4C,Jan 15 2024,No Dock,Delivered,VIN 4244604,Freight Prepaid,Machinery,1000kms,DRV1324116
Patna,Hosur,06-03-2026,5073 kg,59 m3,Full Truck Load,DHL Express,1307 USD,SH100551,Overnight,Frozen,15-01-2024,Loading Dock,On Hold,VIN:4322111,COL,Pharma,800 KM,DRV-9896747
Noida,Surat,March 6 2026,6336 tons,55 cubic meters,Flatbed,Swift Transport,USD 2651,SH100552,Urgent,40°F,2024-01-15T08:30,Side Load,In Transit,VIN-6393590,STC,Auto Parts,250 km,DRV 7469588
Patna,Chennai,03-06-2026,6927 Ton,91 CBM,fulltruck,XPO Logistics,2112,SH100553,Standard,-10°F,15-01-2024,Forklift,Picked Up,VIN:1188196,COL,FMCG,800 KM,DRV3458300
Mumbai,Chennai,Feb 6 2026,6901 Ton,4 cubic meters,Tanker,SWIFT TRANSPORT,"₹2,979",SH100554,Same Day,5 °C,20240115,Loading Dock,On Hold,vin3923749,Freight Prepaid,Chemicals,600 KM,DRV-3985725
Chennai,Visakhapatnam,32/02/2026,14791 KG,69 CBM,Container,XPO Logistics,₹1256,SH100555,Standard,2°C,01/15/2024,Lift Gate,Cancelled,VIN9933037,Freight Collect,Furniture,1000kms,DRV 6780453
Patna,Hosur,March 6 2026,678 tons,57 cubic meters,fulltruck,SWIFT TRANSPORT,"₹1,310",SH100556,STD,-5C,20240115,Rear Load,Delayed,VIN 3968432,COL,Auto Parts,400 kilometers,DRV7166973
Hyderabad,Ahmedabad,06-03-2026,6094 lbs,3 CBM,Full Truck Load,Swift Transport,USD 3841,SH100557,Next Day,5 °C,Jan 15 2024,Rear Load,Delayed,VIN1015146,PPD,Plastic Goods,300km,DRIVER6682569
Delhi,Guwahati,03-06-2026,17900 kg,21 m3,FTL,Swift Transport,EUR 3610,SH100558,Overnight,5 °C,Jan 15 2024,Dock,Picked Up,VIN:9725922,STC,Furniture,1000kms,DRV 8546861
Varanasi,Nagpur,March 6 2026,16909 kg,11 m3,Tanker,DHL Express,"EUR 3,684",SH100559,Same Day,Ambient,2024-01-15T08:30,No Dock,Delayed,VIN:5211341,STC,Pharma,500km,DRV-3310691
Noida,Hosur,06-03-2026,13374 tons,8 cu ft,fulltruck,SWIFT TRANSPORT,"$3,113",SH100560,Overnight,8C,"January 15, 2024",Open Yard,Pending,vin9711593,Freight Prepaid,Chemicals,900 km,DRV 3031553
Indore,Vijayawada,06-03-2026,18181 kg,84 cu ft,LTL,Maersk Line,1949,SH100561,Premium,35°F,Jan 15 2024,Dock,On Hold,VIN8494547,Freight Collect,Textiles,900 km,DRV 5012061
Vijayawada,Ahmedabad,06-03-2026,1650 KG,5 m3,Reefer,SWIFT TRANSPORT,₹3993,SH100562,Same Day,35°F,"January 15, 2024",Rear Load,Processing,VIN6749134,STC,Pharma,1000kms,DRV-5121764
Chandigarh,Mumbai,03-06-2026,18714 KG,85 CBM,Less Than Truckload,Ryder Logistics,USD 952,SH100563,Premium,Ambient,20240115,Ramp,Picked Up,VIN-6540320,PPD,Plastic Goods,400 kilometers,DRV4421097
Indore,Chennai,03-06-2026,4483 kg,57 cubic meters,FTL,Landstar System,2917,SH100564,Economy,-10°F,Jan 15 2024,Rear Load,Delivered,VIN6715626,COL,Furniture,350 KM,DRV1075494
Indore,Nagpur,March 6 2026,9936 lbs,28 cu ft,FTL,DHL Express,1626 USD,SH100565,Urgent,Ambient,20240115,Lift Gate,Delayed,VIN4589288,Collect,Pharma,250 km,DRIVER8672310
Indore,Vijayawada,March 6 2026,4362 KG,38 cu ft,Less Than Truckload,Maersk Line,"$3,679",SH100566,Next Day,Frozen,15-01-2024,Side Load,Processing,VIN 6512170,Freight Prepaid,Chemicals,250 km,DRV-4938641
Varanasi,Pune,06-03-2026,2441 kg,73 cu ft,Container,UPS Logistics,"EUR 2,228",SH100567,Ground,35°F,"January 15, 2024",Lift Gate,Delayed,VIN:3025094,Freight Collect,Electronics,1000kms,DRIVER1259684
Varanasi,Pune,32/02/2026,15918 KG,45 m3,fulltruck,XPO Logistics,1913,SH100568,Next Day,Frozen,20240115,Forklift,Picked Up,VIN:1457415,Freight Collect,FMCG,1200 kilometers,DRV2472811
Pune,Varanasi,06-03-2026,17131 lbs,7 m3,Tanker,UPS Logistics,3118,SH100569,Express,+4C,20240115,Lift Gate,Cancelled,VIN1600111,STC,Pharma,1200 kilometers,drv8241727
Delhi,Guwahati,03-06-2026,8473 Ton,31 m3,fulltruck,JB Hunt,"$3,809",SH100570,Premium,Ambient,20240115,Open Yard,Picked Up,VIN 6530611,COL,Electronics,1200 kilometers,DRV1959812
Delhi,Chennai,Feb 6 2026,19926 tons,46 cu ft,Step Deck,Swift Transport,3161 USD,SH100571,Standard,Cold,15-01-2024,Forklift,Delayed,VIN7489430,Freight Collect,Chemicals,450-km,drv6352433
Gurgaon,Chandigarh,Feb 6 2026,1338 KG,8 cu ft,Dry Van,FedEx Freight,1061 USD,SH100572,Next Day,40°F,01/15/2024,Forklift,On Hold,VIN:9474267,STC,Chemicals,250 km,DRV5174268
Hyderabad,Ahmedabad,06-03-2026,2756 lbs,97 cubic meters,Step Deck,UPS Logistics,1156 USD,SH100573,Priority,2°C,Jan 15 2024,No Dock,Picked Up,VIN4833688,Freight Collect,Pharma,400 kilometers,DRIVER7854736
Indore,Nagpur,06-03-2026,10896 Ton,11 CBM,Lowboy,XPO Logistics,"₹2,639",SH100574,Premium,-5C,Jan 15 2024,Loading Dock,Delayed,VIN:4889940,Collect,Plastic Goods,700 km,DRIVER7322454
Delhi,Vijayawada,32/02/2026,16226 KG,41 CBM,Less Than Truckload,Knight Transportation,"₹3,582",SH100575,Standard,8C,15-01-2024,Dock,Pending,vin3523920,PPD,Electronics,400 kilometers,DRV-9339587
Mumbai,Trichy,32/02/2026,13383 kg,2 CBM,LTL,FedEx Freight,"$2,828",SH100576,Premium,-5C,2024-01-15T08:30,No Dock,Pending,VIN 8823910,Collect,Agricultural Products,500km,drv9258221
Vijayawada,Ahmedabad,03-06-2026,18095 tons,79 m3,Full Truck Load,JB Hunt,"$2,494",SH100577,STD,2°C,15-01-2024,Side Load,On Hold,VIN 3479415,Freight Collect,Furniture,700 km,DRV6130969
Varanasi,Nagpur,Feb 6 2026,10552 KG,7 cu ft,Container,XPO Logistics,3107,SH100578,Priority,Frozen,01/15/2024,Side Load,Pending,VIN-7276996,Freight Collect,Chemicals,250 km,DRIVER9610441
Ranchi,Mumbai,06-03-2026,2350 kg,64 cu ft,Lowboy,Maersk Line,1394,SH100579,Express,20 °C,2024-01-15T08:30,Lift Gate,Picked Up,VIN:1406388,Collect,Furniture,1200 kilometers,DRV-2460774
Gurgaon,Patna,Feb 6 2026,9182 Ton,95 cu ft,Step Deck,SWIFT TRANSPORT,"USD 3,785",SH100580,Standard,8C,01/15/2024,Lift Gate,Processing,VIN 3632070,Freight Collect,Chemicals,300km,DRV-7409560
Vijayawada,Ahmedabad,06-03-2026,2146 lbs,7 cu ft,Tanker,Knight Transportation,1569 USD,SH100581,Ground,8C,Jan 15 2024,Dock,Picked Up,vin1516249,PPD,Steel,800 KM,DRV-3708111
Mumbai,Trichy,32/02/2026,11922 Ton,12 cu ft,Reefer,FedEx Freight,2455 USD,SH100582,Ground,Ambient,Jan 15 2024,No Dock,Processing,VIN 1715481,Freight Prepaid,Textiles,800 KM,DRV 6313338
Madurai,Noida,32/02/2026,13580 lbs,98 m3,fulltruck,Knight Transportation,"$2,417",SH100583,Next Day,+4C,Jan 15 2024,Open Yard,Cancelled,VIN:3226026,Freight Collect,Electronics,300km,DRV 5067901
Gurgaon,Patna,06-03-2026,10543 KG,57 cu ft,Less Than Truckload,Swift Transport,EUR 3681,SH100584,STD,40°F,01/15/2024,Forklift,On Hold,VIN9661096,STC,Auto Parts,250 km,DRV 4419704
Chandigarh,Mumbai,06-03-2026,3121 tons,91 cu ft,Full Truck Load,FedEx Freight,USD 3819,SH100585,Express,No Temp Control,15-01-2024,Lift Gate,Picked Up,VIN2117442,Freight Prepaid,Auto Parts,800 KM,DRV8762791
Ahmedabad,Gurgaon,March 6 2026,4051 tons,15 cu ft,Reefer,FedEx Freight,3371 USD,SH100586,Standard,2C,15-01-2024,No Dock,On Hold,VIN 7900185,Collect,Plastic Goods,800 KM,DRV 1117254
Ranchi,Cochi,06-03-2026,6503 kg,36 cubic meters,Reefer,Swift Transport,"EUR 2,087",SH100587,Overnight,Cold,2024-01-15T08:30,No Dock,Pending,VIN-7107399,Freight Collect,FMCG,350 KM,DRV 9527861
Ranchi,Cochi,06-03-2026,11053 tons,86 cubic meters,Full Truck Load,DHL Express,USD 3550,SH100588,Priority,40°F,15-01-2024,Lift Gate,On Hold,VIN:4082240,STC,Agricultural Products,400 kilometers,drv6777606
Hyderabad,Visakhapatnam,March 6 2026,2481 lbs,10 cu ft,Flatbed,Landstar System,2981,SH100589,Economy,5 °C,15-01-2024,Open Yard,Delayed,vin1164476,STC,Machinery,1000kms,DRV2352493
Varanasi,Pune,03-06-2026,13153 kg,89 cu ft,fulltruck,SWIFT TRANSPORT,3150,SH100590,Urgent,35°F,"January 15, 2024",Rear Load,Delivered,VIN8737969,STC,FMCG,400 kilometers,drv7969443
Patna,Kanpur,32/02/2026,19345 KG,2 cubic meters,Reefer,Schneider National,$971,SH100591,Express,20 °C,2024-01-15T08:30,No Dock,Delivered,VIN:7823677,Prepaid,Chemicals,600 KM,DRIVER8544026
Bhopal,Chennai,32/02/2026,17385 Ton,13 m3,Tanker,Landstar System,"USD 3,996",SH100592,Same Day,+4C,01/15/2024,Rear Load,Delivered,vin7705989,Freight Collect,Textiles,450-km,DRV-1465153
Indore,Chennai,March 6 2026,2140 lbs,50 cu ft,Less Than Truckload,SWIFT TRANSPORT,2196,SH100593,Premium,35°F,20240115,Forklift,Pending,VIN 1023656,Freight Prepaid,Steel,600 KM,DRV 9550603
Mumbai,Kanpur,03-06-2026,4304 tons,84 cubic meters,Reefer,Swift Transport,₹1397,SH100594,Overnight,20 °C,15-01-2024,Loading Dock,In Transit,VIN:1185996,STC,Textiles,600 KM,DRV8906903
Noida,Surat,03-06-2026,6188 lbs,14 cu ft,Container,Schneider National,3078 USD,SH100595,Next Day,-5C,20240115,Ramp,Pending,VIN:5296648,PPD,Steel,250 km,DRV 9829586
Ahmedabad,Chennai,06-03-2026,16743 tons,78 cu ft,Tanker,FedEx Freight,2288 USD,SH100596,Same Day,Frozen,15-01-2024,Loading Dock,Delayed,vin2869373,PPD,Plastic Goods,900 km,DRV 2744009
Ahmedabad,Chennai,03-06-2026,16208 Ton,93 CBM,Flatbed,Knight Transportation,1260,SH100597,Urgent,-10°F,20240115,No Dock,Delayed,vin5609436,Freight Collect,Auto Parts,400 kilometers,DRV9167494
Trichy,Nagpur,March 6 2026,16482 lbs,51 cu ft,Step Deck,Swift Transport,"EUR 2,889",SH100598,Standard,-5C,15-01-2024,Side Load,In Transit,VIN 5570926,Collect,Auto Parts,450-km,DRIVER3444725
Ahmedabad,Ranchi,06-03-2026,18325 tons,27 m3,Less Than Truckload,Maersk Line,3511 USD,SH100599,Overnight,No Temp Control,Jan 15 2024,Lift Gate,Processing,VIN 4187742,PPD,Agricultural Products,900 km,DRV 7978155
Trichy,Ahmedabad,Feb 6 2026,19579 kg,94 m3,Lowboy,DHL Express,₹1646,SH100600,Overnight,2°C,20240115,Ramp,Delivered,VIN:6252077,Collect,Agricultural Products,900 km,drv4128793
Gurgaon,Chandigarh,Feb 6 2026,11469 Ton,65 cubic meters,Container,Maersk Line,1771 USD,SH100601,Standard,No Temp Control,Jan 15 2024,Forklift,On Hold,VIN5003811,Prepaid,Electronics,500km,drv9922628
Ahmedabad,Chennai,03-06-2026,14740 Ton,31 m3,fulltruck,UPS Logistics,"USD 2,140",SH100602,Express,-5C,15-01-2024,No Dock,Cancelled,VIN:4109158,Collect,Pharma,350 KM,DRV2990174
Indore,Nagpur,06-03-2026,12467 tons,2 CBM,Lowboy,Swift Transport,3710 USD,SH100603,Priority,Cold,15-01-2024,Ramp,Picked Up,VIN1673730,Freight Collect,Auto Parts,250 km,DRV-3556485
Bhopal,Chennai,Feb 6 2026,13767 kg,83 m3,Less Than Truckload,Maersk Line,₹999,SH100604,Next Day,Ambient,15-01-2024,Side Load,Cancelled,VIN-4532990,PPD,Pharma,600 KM,DRV1146289
Gurgaon,Patna,03-06-2026,1664 KG,69 cubic meters,Reefer,Ryder Logistics,"$1,184",SH100605,Express,-5C,2024-01-15T08:30,Ramp,Cancelled,VIN-4416618,Collect,Auto Parts,300km,DRV-6258076
Delhi,Chennai,03-06-2026,523 tons,56 CBM,fulltruck,XPO Logistics,₹2288,SH100606,Premium,40°F,15-01-2024,Dock,Pending,VIN-9736025,Prepaid,Pharma,250 km,DRV-8570612
Trichy,Ahmedabad,Feb 6 2026,4652 Ton,26 m3,Less Than Truckload,JB Hunt,EUR 3473,SH100607,Next Day,Frozen,"January 15, 2024",Lift Gate,Delayed,vin4085970,STC,Electronics,800 KM,DRV-3016617
Bhopal,Chennai,03-06-2026,19142 Ton,23 cu ft,Less Than Truckload,XPO Logistics,1550,SH100608,Economy,2°C,2024-01-15T08:30,No Dock,Delivered,VIN-9364359,STC,Furniture,250 km,DRV 2594407
Delhi,Vijayawada,03-06-2026,19216 Ton,37 CBM,Flatbed,Swift Transport,"₹1,734",SH100609,Premium,Ambient,20240115,No Dock,Pending,VIN:4439402,STC,Textiles,500km,DRV-3260821
Ranchi,Cochi,March 6 2026,18404 tons,27 m3,Less Than Truckload,SWIFT TRANSPORT,$3187,SH100610,Premium,Cold,15-01-2024,Ramp,Picked Up,VIN2320353,COL,Furniture,900 km,DRV 2093443
Noida,Surat,Feb 6 2026,13127 Ton,84 m3,Tanker,DHL Express,EUR 2296,SH100611,Express,-5C,01/15/2024,Ramp,Delayed,vin9123629,COL,Machinery,700 km,drv7195461
Ahmedabad,Gurgaon,Feb 6 2026,7961 KG,10 m3,Step Deck,XPO Logistics,EUR 2602,SH100612,Same Day,+4C,20240115,Loading Dock,In Transit,vin9898824,Freight Collect,Electronics,300km,DRV 2272659
Ahmedabad,Gurgaon,06-03-2026,4539 KG,57 cubic meters,Step Deck,Maersk Line,2067 USD,SH100613,Economy,+4C,Jan 15 2024,Lift Gate,Delivered,VIN-1883987,PPD,Electronics,800 KM,DRV-5815404
Delhi,Guwahati,32/02/2026,4311 tons,84 cubic meters,Tanker,Landstar System,1127,SH100614,Urgent,8C,20240115,Ramp,On Hold,VIN 6061809,Freight Prepaid,Auto Parts,500km,DRV 9361711
Gurgaon,Chandigarh,32/02/2026,2952 Ton,19 CBM,Reefer,FedEx Freight,3001,SH100615,Overnight,5 °C,"January 15, 2024",Dock,On Hold,VIN:3812483,Freight Prepaid,Pharma,350 KM,DRV-7323103
Cochi,Chandigarh,06-03-2026,13137 lbs,3 CBM,Flatbed,SWIFT TRANSPORT,$1497,SH100616,STD,+4C,15-01-2024,Forklift,Delayed,VIN6077465,Freight Collect,Agricultural Products,250 km,DRV 5525615
Patna,Kanpur,Feb 6 2026,13197 Ton,11 m3,Full Truck Load,Schneider National,EUR 3093,SH100617,Economy,Cold,2024-01-15T08:30,Rear Load,Picked Up,VIN-2726954,Collect,Chemicals,700 km,DRV 5467529
Visakhapatnam,Chandigarh,06-03-2026,5726 lbs,59 cu ft,Flatbed,Knight Transportation,2948 USD,SH100618,Standard,+4C,15-01-2024,Ramp,In Transit,VIN-6870026,STC,Electronics,1000kms,DRV2827462
Cochi,Chandigarh,March 6 2026,8499 KG,54 cu ft,Tanker,Maersk Line,"$1,243",SH100619,Same Day,-10°F,15-01-2024,Ramp,Delayed,VIN-4526451,Collect,Agricultural Products,300km,DRIVER9563999
Trichy,Lucknow,06-03-2026,7466 kg,64 CBM,FTL,Schneider National,1024,SH100620,Ground,35°F,20240115,Open Yard,Pending,VIN:1629612,Freight Prepaid,Chemicals,1000kms,DRV-4375388
Mumbai,Chennai,06-03-2026,1578 kg,24 CBM,Dry Van,Maersk Line,2334,SH100621,Next Day,-5C,2024-01-15T08:30,Lift Gate,Picked Up,VIN 4010846,STC,Textiles,800 KM,drv7639731
Varanasi,Pune,Feb 6 2026,10610 lbs,67 CBM,Dry Van,SWIFT TRANSPORT,"₹1,655",SH100622,Economy,Frozen,"January 15, 2024",Side Load,Picked Up,VIN-7558354,Collect,Pharma,500km,DRV7497716
